,model_version,accuracy,precision,recall,f1_score_value,time_consumed
0,v78,0.8148148148148148,0.8148148148148148,1.0,0.8979591836734693,11.505406618118286
0,v79,0.4642857142857143,0.3607142857142857,0.4642857142857143,0.37103412793688906,10.732378482818604
0,v80,0.6931818181818182,0.6931818181818182,1.0,0.8187919463087246,10.729304790496826
0,v81,0.8837209302325582,0.8837209302325583,1.0,0.9382716049382717,10.350543022155762
0,v82,1.0,1.0,1.0,1.0,10.754706859588623
0,v83,0.5384615384615384,0.5384615384615384,1.0,0.7000000000000001,11.019901275634766
0,v84,0.6236559139784946,0.6236559139784946,1.0,0.7682119205298015,12.936380386352539
0,v85,0.5894736842105263,0.5894736842105263,1.0,0.7417218543046357,11.53363823890686
0,v86,0.6494845360824743,0.6494845360824743,1.0,0.7875000000000001,11.576524019241333
0,v87,0.7040816326530612,0.7040816326530612,1.0,0.8263473053892215,11.283721208572388
0,v88,0.7551020408163265,0.7551020408163265,1.0,0.8604651162790697,12.328450679779053
0,v89,0.803921568627451,0.803921568627451,1.0,0.891304347826087,12.273378372192383
0,v90,0.6476190476190476,0.6476190476190476,1.0,0.7861271676300579,12.510328531265259
0,v91,0.7169811320754716,0.7169811320754716,1.0,0.8351648351648352,12.341273069381714
0,v92,0.6018518518518519,0.6018518518518519,1.0,0.7514450867052023,12.168319940567017
0,v93,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,12.740731716156006
0,v94,0.5739130434782609,0.5739130434782609,1.0,0.7292817679558011,13.71356749534607
0,v95,0.4322033898305085,0.3673258003766478,0.4322033898305085,0.31839593414059864,13.821495532989502
0,v96,0.7398373983739838,0.7398373983739838,1.0,0.8504672897196264,16.63856601715088
0,v97,0.753968253968254,0.753968253968254,1.0,0.8597285067873304,14.410484075546265
0,v98,0.5436241610738255,0.5257923872042326,0.5436241610738255,0.44250969767871434,15.287184476852417
0,v99,0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,15.285821676254272
0,v100,0.6176470588235294,0.6176470588235294,1.0,0.7636363636363638,16.315048456192017
0,v101,0.5944055944055944,0.5944055944055944,1.0,0.7456140350877193,16.498345136642456
0,v102,0.6923076923076923,0.6923076923076923,1.0,0.8181818181818182,16.81552529335022
0,v103,0.5185185185185185,0.5344650205761317,0.5185185185185185,0.43225707195365853,17.141971826553345
0,v104,0.5822784810126582,0.5822784810126582,1.0,0.736,17.460373878479004
0,v105,0.5644171779141104,0.5644171779141104,1.0,0.7215686274509805,18.514277696609497
0,v106,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333,16.428011894226074
